"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",37.838865,128.53801,"ASIA","Gangwon-do",2023,6,23,"cdc,cdround","https://www.inaturalist.org/observations/168919624","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4145275657","168919624"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",37.923467,128.420993,"ASIA","Gangwon-do",2019,8,31,"cdc,cdround","https://www.inaturalist.org/observations/31837955","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2397643945","31837955"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",37.987331,128.40705,"ASIA","Gangwon-do",2019,8,31,"cdc,cdround","https://www.inaturalist.org/observations/31903925","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2397655312","31903925"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",37.875144,128.412136,"ASIA","Gangwon-do",2019,8,31,"cdc,cdround","https://www.inaturalist.org/observations/31903938","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2397657036","31903938"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",37.752564,128.531804,"ASIA","Gangwon-do",2019,9,15,"cdc,cdround","https://www.inaturalist.org/observations/169094346","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4137868630","169094346"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",37.521128,128.01672,"ASIA","Gangwon-do",2010,8,17,"cdc,cdround","https://www.inaturalist.org/observations/26628","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2573820601","26628"
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",38.257328,127.067801,"ASIA",NA,2008,1,6,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001328036",NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",38.076957,127.481971,"ASIA",NA,2008,3,8,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001849251",NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",38.026957,127.442525,"ASIA",NA,2008,3,9,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001840215",NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",38.055848,127.430026,"ASIA",NA,2008,6,6,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001327102",NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",38.101959,127.447249,"ASIA",NA,2008,6,5,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001855183",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",37.797149,128.547944,"ASIA","Gangwon-do",2008,7,25,"cdc,cdround","https://www.inaturalist.org/observations/2493768","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2573971609","2493768"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",37.458766,128.382414,"ASIA","Gangwon-do",2008,7,23,"cdc,cdround","https://www.inaturalist.org/observations/26149","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2574069701","26149"
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",38.149952,127.133547,"ASIA",NA,2008,7,18,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001797029",NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",38.20675,127.11902,"ASIA",NA,2008,7,23,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001846129",NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",38.136786,127.036806,"ASIA",NA,2008,7,23,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001849088",NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",38.1707,127.239231,"ASIA",NA,2008,7,18,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001324034",NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",38.230803,127.146961,"ASIA",NA,2008,7,24,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001328038",NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",38.241329,127.069829,"ASIA",NA,2008,7,22,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001803050",NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",38.173616,127.186208,"ASIA",NA,2008,7,23,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001328053",NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",38.029633,127.184321,"ASIA",NA,2008,7,27,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001855044",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",37.741366,128.510427,"ASIA","Gangwon-do",2008,8,7,"cdc,cdround","https://www.inaturalist.org/observations/2494378","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2573904618","2494378"
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",38.102569,127.204902,"ASIA",NA,2008,9,28,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001839972",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",37.77879,128.540911,"ASIA","Gangwon-do",2007,9,8,"cdc,cdround","https://www.inaturalist.org/observations/1229412","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2573780571","1229412"
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Scincella huanrenensis",38.073583,128.366639,"ASIA",NA,2003,7,4,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001347612",NA
"9bd5584b-c99f-496b-8448-5553a97548a2","PRESERVED_SPECIMEN","PRESENT","Scincella huanrenensis",37.74503,128.57142,"ASIA","Gangwon-do",NA,NA,NA,"cdc,gass84,rdativ,colmano,inmafu",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","4164989484","NIBRRP0000100914"
