"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","county","elevation","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",33.365247,126.347035,"ASIA","Jeju",2024,3,30,"cdc,cdround","https://www.inaturalist.org/observations/209246379","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4852082891","209246379",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",36.621593,126.312123,"ASIA","Chungcheongnam-do",2024,4,9,"cdc,cdround","https://www.inaturalist.org/observations/206232530","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4607581997","206232530",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",33.284492,126.284871,"ASIA","Jeju",2024,4,10,"cdc,cdround","https://www.inaturalist.org/observations/206402722","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4607323831","206402722",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",37.241733,127.018325,"ASIA","Gyeonggi-do",2024,5,12,"cdc,cdround","https://www.inaturalist.org/observations/215155979","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4863423231","215155979",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",36.785699,127.10487,"ASIA","Chungcheongnam-do",2024,5,12,"cdc,cdround","https://www.inaturalist.org/observations/215184607","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4863725545","215184607",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",36.989987,126.917572,"ASIA","Gyeonggi-do",2024,5,16,"cdc,cdround","https://www.inaturalist.org/observations/217491408","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4872135755","217491408",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",35.932413,127.206542,"ASIA","Jeollabuk-do",2024,5,26,"cdc,cdround","https://www.inaturalist.org/observations/222803835","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901286240","222803835",NA,NA,NA,NA
"7a0b9d7b-7c86-411b-ad93-3ab91d192028","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",37.009754,127.085478,"ASIA","Gyeonggi-do",2023,3,22,"cdc,gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","4899900303","NSMK-OB-AR-220600004","Segyo-dong","Pyeongtaek-si",NA,NA
"7a0b9d7b-7c86-411b-ad93-3ab91d192028","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",36.370416,127.373153,"ASIA","Daejeon",2023,3,24,"cdc,gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","4899900302","NSMK-OB-AR-220600005","Guseong-dong","Yuseong-gu",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",37.852527,127.767949,"ASIA","Gangwon-do",2023,5,3,"cdc,cdround","https://www.inaturalist.org/observations/159366124","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4112074870","159366124",NA,NA,NA,NA
